Date,Open,High,Low,Close
2023-12-31,14.716700553894043,14.716700553894043,14.716700553894043,14.716700553894043
2024-01-07,14.645488739013672,14.645488739013672,14.645488739013672,14.645488739013672
2024-01-14,14.813410758972168,14.813410758972168,14.813410758972168,14.813410758972168
2024-01-21,14.751221656799316,14.751221656799316,14.751221656799316,14.751221656799316
2024-01-28,14.901341438293457,14.901341438293457,14.901341438293457,14.901341438293457
2024-02-04,14.959650993347168,14.959650993347168,14.959650993347168,14.959650993347168
2024-02-11,14.9956636428833,14.9956636428833,14.9956636428833,14.9956636428833
2024-02-18,14.915547370910645,14.915547370910645,14.915547370910645,14.915547370910645
2024-02-25,15.075689315795898,15.075689315795898,15.075689315795898,15.075689315795898
2024-03-03,15.05778980255127,15.05778980255127,15.05778980255127,15.05778980255127
2024-03-10,15.192217826843262,15.192217826843262,15.192217826843262,15.192217826843262
2024-03-17,15.183614730834961,15.183614730834961,15.183614730834961,15.183614730834961
2024-03-24,15.292678833007812,15.292678833007812,15.292678833007812,15.292678833007812
2024-03-31,15.158100128173828,15.158100128173828,15.158100128173828,15.158100128173828
2024-04-07,15.163595199584961,15.163595199584961,15.163595199584961,15.163595199584961
2024-04-14,14.921515464782715,14.921515464782715,14.921515464782715,14.921515464782715
2024-04-21,14.741315841674805,14.741315841674805,14.741315841674805,14.741315841674805
2024-04-28,14.830485343933105,14.830485343933105,14.830485343933105,14.830485343933105
2024-05-05,15.093441009521484,15.093441009521484,15.093441009521484,15.093441009521484
2024-05-12,15.09406852722168,15.09406852722168,15.09406852722168,15.09406852722168
2024-05-19,15.211699485778809,15.211699485778809,15.211699485778809,15.211699485778809
2024-05-26,15.13947582244873,15.13947582244873,15.13947582244873,15.13947582244873
2024-06-02,15.2748441696167,15.2748441696167,15.2748441696167,15.2748441696167
2024-06-09,15.33232307434082,15.33232307434082,15.33232307434082,15.33232307434082
2024-06-16,15.204752922058105,15.204752922058105,15.204752922058105,15.204752922058105
2024-06-23,15.2318115234375,15.2318115234375,15.2318115234375,15.2318115234375
2024-06-30,15.229223251342773,15.229223251342773,15.229223251342773,15.229223251342773
2024-07-07,15.360876083374023,15.360876083374023,15.360876083374023,15.360876083374023
2024-07-14,15.43340015411377,15.43340015411377,15.43340015411377,15.43340015411377
2024-07-21,15.378567695617676,15.378567695617676,15.378567695617676,15.378567695617676
2024-07-28,15.409571647644043,15.409571647644043,15.409571647644043,15.409571647644043
2024-08-04,15.29978084564209,15.29978084564209,15.29978084564209,15.29978084564209
2024-08-11,15.327816009521484,15.327816009521484,15.327816009521484,15.327816009521484
2024-08-18,15.437559127807617,15.437559127807617,15.437559127807617,15.437559127807617
2024-08-25,15.67497444152832,15.67497444152832,15.67497444152832,15.67497444152832
2024-09-01,15.675052642822266,15.675052642822266,15.675052642822266,15.675052642822266
2024-09-08,15.640058517456055,15.640058517456055,15.640058517456055,15.640058517456055
2024-09-15,16.010032653808594,16.010032653808594,16.010032653808594,16.010032653808594
2024-09-22,16.250248908996582,16.250248908996582,16.250248908996582,16.250248908996582
2024-09-29,16.210283279418945,16.210283279418945,16.210283279418945,16.210283279418945
